name,title,hitPoints
Nixie,Choloepus hoffmani,76
Manolo,Larus fuliginosus,84
Rory,Alligator mississippiensis,89
Angeli,Plocepasser mahali,79
Holden,Tragelaphus scriptus,88
Consalve,Corallus hortulanus cooki,77
Jeannette,unavailable,74
Flemming,Dusicyon thous,97
Noak,Dasyurus viverrinus,91
Willdon,Ursus arctos,98
Silvano,Camelus dromedarius,78
Pavla,Cordylus giganteus,73
Alphonse,Connochaetus taurinus,76
Lyle,Equus hemionus,91
Donny,Phascogale tapoatafa,93
Gaby,Laniaurius atrococcineus,92
Jaye,Podargus strigoides,83
Geri,Sciurus niger,100
Orsola,Alcelaphus buselaphus caama,95
Raphael,Neotis denhami,84
Nessie,Mycteria leucocephala,82
Gay,unavailable,84
Janeen,Bubalornis niger,95
Molly,unavailable,95
Enrichetta,Anthropoides paradisea,77
Dom,Ploceus intermedius,95
Kora,Bucephala clangula,86
Abrahan,Uraeginthus granatina,73
Humfrid,Mazama gouazoubira,86
Abigail,Phalacrocorax niger,85
Kin,Milvus migrans,83
Peggi,Tockus flavirostris,97
Lita,Seiurus aurocapillus,97
Brande,Leptoptilos crumeniferus,83
Wit,Lamprotornis sp.,71
Ingelbert,Melanerpes erythrocephalus,73
Eileen,Coluber constrictor,94
Philippe,Spermophilus parryii,86
Boyce,Pelecanus occidentalis,92
Daile,Macropus agilis,99
Tommie,Choriotis kori,99
Petronilla,Ramphastos tucanus,81
Kerrie,Ramphastos tucanus,81
Aurore,Ovibos moschatus,95
Blakelee,Callipepla gambelii,100
Bartholomeus,Tadorna tadorna,96
Vanny,Paradoxurus hermaphroditus,77
Sherwin,Manouria emys,87
Beverly,Macropus eugenii,95
Claretta,Galago crassicaudataus,95
Sadye,Pycnonotus nigricans,92
Elias,Cynictis penicillata,72
Errol,Procyon cancrivorus,98
Brenna,Bucorvus leadbeateri,99
Solomon,Dusicyon thous,87
Anthia,Naja nivea,86
Doralyn,Dasyurus viverrinus,81
Leann,Vulpes chama,88
Babara,Bassariscus astutus,90
Dorthy,Haematopus ater,76
Dorthea,Phalacrocorax brasilianus,96
Orion,Trichoglossus haematodus moluccanus,72
Julina,Propithecus verreauxi,71
Andros,unavailable,74
Bobbi,Macropus robustus,87
Eilis,Hyaena brunnea,82
Starlene,Panthera pardus,83
Arleta,Martes pennanti,74
Gladys,Grus antigone,100
Drona,Calyptorhynchus magnificus,86
Kippie,Cebus nigrivittatus,78
Janka,Diomedea irrorata,96
Roseann,Sciurus vulgaris,100
Germain,Anas bahamensis,94
Evin,Uraeginthus angolensis,72
Karoly,Phaethon aethereus,97
Anselm,Calyptorhynchus magnificus,86
Ariel,Halcyon smyrnesis,94
Paige,Ursus arctos,86
Carlyn,Tachyglossus aculeatus,95
Krystle,Gazella granti,74
Hollis,Graspus graspus,94
Joshia,Bubalus arnee,73
Ophelie,Anthropoides paradisea,93
Whitman,Bison bison,72
Joline,Falco mexicanus,79
Ara,Naja haje,81
Raphaela,Dendrocygna viduata,86
Zacharie,Paraxerus cepapi,74
Angel,Gyps bengalensis,91
Jelene,Acrobates pygmaeus,70
Matty,Oryx gazella callotis,95
Matthaeus,Damaliscus dorcas,78
Geoffry,Haliaetus vocifer,83
Aurelea,Pseudalopex gymnocercus,90
Nealy,Francolinus leucoscepus,76
Sharona,Lasiodora parahybana,92
Miller,Platalea leucordia,98
Flory,Choloepus hoffmani,79
Brigg,Ephipplorhynchus senegalensis,75
Laurice,Charadrius tricollaris,74
Fernandina,Plegadis falcinellus,87
Ardyce,Eubalaena australis,93
Gladi,Manouria emys,94
Florella,Macropus eugenii,71
Antonius,Limnocorax flavirostra,70
Ethelyn,Amazona sp.,71
Phelia,Cervus duvauceli,78
Andree,Connochaetus taurinus,100
Alasteir,Aonyx cinerea,73
Mariska,Anas platyrhynchos,80
Blanche,Tiliqua scincoides,96
Curran,Eurocephalus anguitimens,80
Ivie,Phalacrocorax brasilianus,70
Courtney,Procyon lotor,78
Rori,Mycteria leucocephala,85
Wren,Ovis dalli stonei,71
Lucien,Geococcyx californianus,84
Dag,Equus hemionus,83
Sallyanne,Macropus robustus,74
Nerissa,Ursus americanus,94
Tanitansy,Mephitis mephitis,92
Marna,Alcelaphus buselaphus cokii,82
Sly,Aepyceros mylampus,91
Brant,Myiarchus tuberculifer,74
Wyatt,Tayassu pecari,80
Udall,Canis lupus baileyi,79
Shanan,Dasypus novemcinctus,91
Janaya,Capreolus capreolus,94
Benedick,Colobus guerza,83
Nester,Iguana iguana,70
Padraic,Trachyphonus vaillantii,98
Raddy,Ploceus intermedius,72
Rubia,Egretta thula,76
Hester,Raphicerus campestris,80
Cher,Motacilla aguimp,98
Briant,Corvus albus,86
Cindee,Graspus graspus,71
Phillida,Corvus albus,93
Fayina,Amblyrhynchus cristatus,77
Gustavus,Heloderma horridum,85
Zacharia,Paradoxurus hermaphroditus,73
Cory,Columba palumbus,86
Romola,Grus canadensis,94
Lezley,Callorhinus ursinus,89
Ashley,Coracias caudata,78
Agnes,Aonyx cinerea,87
Silvana,Anser anser,94
Roger,Phasianus colchicus,89
Giselle,Libellula quadrimaculata,85
Shir,Bison bison,88
Feodora,Spizaetus coronatus,71
Valry,Axis axis,84
Crin,Colobus guerza,99
Irena,Bubalus arnee,95
Horace,Corvus albus,81
Wolfy,Zalophus californicus,93
Bella,Paradoxurus hermaphroditus,96
Ossie,Libellula quadrimaculata,83
Carmine,Helogale undulata,100
Bartolemo,Casmerodius albus,75
Angeline,Naja sp.,77
Jacquenetta,Myrmecobius fasciatus,91
Modesta,Colobus guerza,99
Andrus,Cacatua tenuirostris,87
Bastian,Dendrocitta vagabunda,93
Robby,Acridotheres tristis,81
Burlie,Physignathus cocincinus,70
Elaine,Merops bullockoides,83
Dorisa,Colobus guerza,83
Nikolai,Castor canadensis,85
Pebrook,Microcebus murinus,90
Darice,Ammospermophilus nelsoni,88
Chelsae,Macropus robustus,94
Colan,Bettongia penicillata,90
Flor,Corvus albicollis,81
Kara-lynn,Cereopsis novaehollandiae,71
See,Phalacrocorax carbo,88
Nevins,Dasypus novemcinctus,81
Mickie,Manouria emys,84
Terencio,Lamprotornis superbus,85
Brant,Sus scrofa,84
Jolene,Acrobates pygmaeus,84
Norry,Paradoxurus hermaphroditus,94
Tuckie,Canis latrans,97
Ladonna,Butorides striatus,92
Derick,Butorides striatus,95
Reinwald,Carduelis uropygialis,84
Gabriela,Deroptyus accipitrinus,76
Eolande,Oryx gazella callotis,95
Darlleen,Eolophus roseicapillus,99
Hillard,Eubalaena australis,93
Kippar,Macropus agilis,73
Allard,Crotalus cerastes,84
Rex,Dasypus novemcinctus,91
Wyn,Butorides striatus,70
Marys,Chlamydosaurus kingii,87
Ettore,Rangifer tarandus,95
Teddie,Ratufa indica,85
Roddy,Bassariscus astutus,77
Diannne,Butorides striatus,87
Jillene,Spheniscus mendiculus,72
Shaun,Tragelaphus strepsiceros,81
Shanda,Plectopterus gambensis,73
Kenna,Ara macao,92
Keary,Castor fiber,78
Emery,Colaptes campestroides,77
Gunar,Acrantophis madagascariensis,79
Lula,Dasyurus viverrinus,77
Lorrie,Canis lupus,78
Pippo,Lamprotornis chalybaeus,97
Hetty,Aonyx cinerea,91
Jade,Amphibolurus barbatus,78
Andris,Phalacrocorax carbo,70
Whitney,Lemur catta,76
Paton,Francolinus coqui,70
Yehudit,Rhea americana,77
Barnett,Felis silvestris lybica,73
Culley,Myrmecophaga tridactyla,83
Bartlett,Turtur chalcospilos,75
Chandal,Tauraco porphyrelophus,76
Thurston,Marmota flaviventris,91
Ray,Nyctanassa violacea,89
Carolyne,Dicrurus adsimilis,89
Trevor,Uraeginthus granatina,73
Pamella,Redunca redunca,80
Saloma,Plegadis falcinellus,73
Anna,Colobus guerza,96
Chantalle,Dasypus novemcinctus,100
Elysia,Panthera leo persica,100
Andy,Aegypius tracheliotus,87
Glyn,Phalacrocorax niger,79
Vida,Felis concolor,95
Benny,Gabianus pacificus,97
Lela,Panthera leo persica,77
Geoff,Vulpes chama,95
Hazel,Megaderma spasma,82
Silvano,Meleagris gallopavo,88
Mirabella,Globicephala melas,86
Jaye,Cacatua tenuirostris,80
Mara,Damaliscus dorcas,92
Godfree,Buteo regalis,79
Inez,Alopochen aegyptiacus,76
Lockwood,Sterna paradisaea,70
Antonina,Bettongia penicillata,82
Elijah,Tenrec ecaudatus,85
Lonni,Cordylus giganteus,72
Reggie,Amblyrhynchus cristatus,90
Livvy,Geococcyx californianus,73
Abbey,Manouria emys,74
Hanson,Melophus lathami,77
Beverley,Nucifraga columbiana,82
Emmerich,Ictalurus furcatus,95
Derron,Lama pacos,72
Rosemary,Falco peregrinus,95
Zackariah,Castor fiber,91
Tony,Cereopsis novaehollandiae,81
Micky,Lasiodora parahybana,80
Luisa,Corvus brachyrhynchos,85
Demott,Butorides striatus,99
Ruthanne,Grus antigone,77
Novelia,Zalophus californicus,98
Maribelle,Manouria emys,89
Conrade,Dicrostonyx groenlandicus,74
Aleen,Sula dactylatra,96
Stephi,Ovis musimon,84
Lydon,Macaca radiata,83
Micheal,Spilogale gracilis,98
Yehudi,Eubalaena australis,74
Sarge,Propithecus verreauxi,87
Austin,Pycnonotus nigricans,99
Abraham,Macaca mulatta,81
Biddy,Bassariscus astutus,80
Doro,unavailable,83
Ely,Paradoxurus hermaphroditus,95
Stephine,Bubalus arnee,82
Maison,Nycticorax nycticorax,82
Anthe,unavailable,89
Norene,Turtur chalcospilos,97
Dallas,Spermophilus tridecemlineatus,72
Lidia,Diomedea irrorata,88
Halsey,Mellivora capensis,74
Franciska,Haliaetus leucogaster,81
Jacqueline,Limosa haemastica,73
Marianne,Sitta canadensis,71
Corrianne,Neotis denhami,100
Lauren,Panthera tigris,77
Jacquette,Papio ursinus,86
Esme,Bettongia penicillata,83
Orren,Ornithorhynchus anatinus,96
Niko,Chionis alba,90
Phillipe,Spermophilus armatus,94
Frants,Pteronura brasiliensis,86
Bennie,Genetta genetta,96
Arda,Alopochen aegyptiacus,73
Aprilette,Ephippiorhynchus mycteria,94
Barney,Bubo sp.,96
Katharyn,Macropus eugenii,100
Herta,Phoca vitulina,77
Colette,Tyto novaehollandiae,95
Bartie,Coendou prehensilis,76
Alfy,Nycticorax nycticorax,86
Huntington,Dusicyon thous,84
Florance,Coendou prehensilis,83
Shari,Sula dactylatra,86
Jorrie,Cacatua tenuirostris,98
Denver,Agkistrodon piscivorus,79
Marylynne,Tachyglossus aculeatus,83
Salem,Aonyx cinerea,89
Cherrita,Stercorarius longicausus,90
Appolonia,Lycaon pictus,84
Gabbie,Dendrocitta vagabunda,89
Lorraine,Callorhinus ursinus,78
Aurelea,Paradoxurus hermaphroditus,84
Gwyneth,Laniaurius atrococcineus,84
Chelsea,Ara ararauna,88
Luke,Meleagris gallopavo,86
Blythe,Coendou prehensilis,76
Samuele,Corvus albicollis,88
Emiline,Limnocorax flavirostra,77
Kaitlyn,Aepyceros mylampus,77
Elsey,Phalaropus lobatus,83
Neilla,unavailable,93
Linea,Gazella thompsonii,73
Allan,Trichosurus vulpecula,73
Felisha,Ardea cinerea,100
Munroe,Ammospermophilus nelsoni,71
Cull,Meleagris gallopavo,86
Frankie,Philetairus socius,83
Amalea,Choloepus hoffmani,73
Sylvester,Anathana ellioti,79
Domeniga,Ephipplorhynchus senegalensis,89
Paulette,Kobus defassa,97
Aaren,Ara macao,95
Bailey,Alligator mississippiensis,83
Fitz,Lycaon pictus,77
Flor,Bucephala clangula,100
George,Macaca mulatta,85
Carine,Alouatta seniculus,89
Piotr,Threskionis aethiopicus,90
Sisely,Haematopus ater,77
Phoebe,Tiliqua scincoides,89
Nikolaos,Varanus sp.,95
Bobinette,Boa constrictor mexicana,88
Thorpe,Papio cynocephalus,85
Yardley,Zosterops pallidus,81
Anselma,Balearica pavonina,97
Thibaud,Felis caracal,83
Demott,Connochaetus taurinus,87
Theo,Aonyx cinerea,77
Ernestus,Acanthaster planci,86
Jacqueline,Nasua narica,82
Dallis,Raphicerus campestris,100
Jock,Phalacrocorax varius,89
Bernadene,Elephas maximus bengalensis,100
Gwenette,Dendrocitta vagabunda,80
Karlens,Cracticus nigroagularis,91
Jens,Macropus giganteus,78
Jaymee,Chordeiles minor,80
Merv,Canis lupus lycaon,94
Lorine,Macaca fuscata,91
Teddie,Anhinga rufa,70
Harald,Anthropoides paradisea,76
Shalna,Varanus salvator,78
Armstrong,Nasua narica,71
Karlotte,Antechinus flavipes,91
Cory,Eurocephalus anguitimens,80
Simone,Cebus albifrons,86
Georgeta,Connochaetus taurinus,70
Renard,Limnocorax flavirostra,87
Dareen,unavailable,92
Annie,Prionace glauca,77
Storm,Bucorvus leadbeateri,74
Gilligan,Eudromia elegans,95
Clim,Calyptorhynchus magnificus,77
Briney,Taurotagus oryx,76
Rawley,Anhinga rufa,87
Jory,Elephas maximus bengalensis,83
Adaline,Leipoa ocellata,72
Theo,Callorhinus ursinus,96
Norene,Ursus americanus,75
Johnathon,Macropus eugenii,80
Palm,Bettongia penicillata,84
Juliann,Anhinga rufa,91
Gaston,Neotis denhami,90
Cecilio,Spermophilus armatus,100
Iseabal,Castor fiber,77
Anthiathia,Corythornis cristata,72
Rebecca,Dusicyon thous,90
Farrand,Melophus lathami,74
Karee,Vulpes vulpes,73
Clem,Procyon lotor,92
Dani,Catharacta skua,80
Riane,Xerus sp.,92
Anne-corinne,Felis caracal,82
Ingeborg,Upupa epops,79
Elvira,Alopex lagopus,72
Susy,Bassariscus astutus,82
Brinn,Mungos mungo,100
Joseito,Certotrichas paena,79
Danyette,Corvus albicollis,88
Courtney,Zonotrichia capensis,91
Maura,Microcebus murinus,94
Brnaby,Oryx gazella,74
Waylon,Felis libyca,73
Clarissa,Sylvilagus floridanus,82
Olva,Haematopus ater,92
Lotta,Alcelaphus buselaphus cokii,100
Noe,Chamaelo sp.,79
Beryle,Nycticorax nycticorax,98
Rusty,Physignathus cocincinus,83
Carlo,Philetairus socius,89
Pauline,Pycnonotus barbatus,79
Electra,Dipodomys deserti,77
Jed,Phasianus colchicus,92
Kiele,Tayassu pecari,90
Brigg,Rhea americana,80
Ardeen,Ardea golieth,99
Nealy,Chauna torquata,79
Faina,Pycnonotus nigricans,86
Wiley,Pteronura brasiliensis,71
Derron,Pelecanus occidentalis,87
Joyann,Pavo cristatus,94
Roseline,Cervus elaphus,76
Christian,Crotaphytus collaris,86
Georgina,Ploceus intermedius,79
Hildagard,Alopex lagopus,72
Jocelyne,Ovibos moschatus,88
Mommy,Pseudalopex gymnocercus,86
Miles,Plegadis falcinellus,88
Jordon,Otaria flavescens,98
Katlin,Odocoileus hemionus,95
Rriocard,Dasyurus viverrinus,73
Bank,Meleagris gallopavo,92
Daphene,Macaca nemestrina,72
Godfree,Creagrus furcatus,70
Stanleigh,Anas bahamensis,74
Mandie,Cebus apella,98
Sigismundo,Myrmecophaga tridactyla,82
Davie,Trachyphonus vaillantii,98
Annnora,Drymarchon corias couperi,89
Alonso,Macropus agilis,70
Herold,Bucephala clangula,71
Delmore,Diomedea irrorata,80
Mildrid,Ciconia ciconia,82
Aime,Coluber constrictor,96
Lulu,Chelodina longicollis,92
Maurie,Salvadora hexalepis,94
Orella,Cacatua tenuirostris,71
Wyatan,Geochelone elephantopus,73
Mandi,Semnopithecus entellus,88
Lisha,Butorides striatus,78
Colleen,Plocepasser mahali,79
Germain,Sarcophilus harrisii,90
Antonia,Zalophus californicus,95
Skippy,Haliaetus leucogaster,70
Clarita,Manouria emys,78
Zared,Gyps bengalensis,73
Robbin,Marmota caligata,83
Shermy,Aegypius tracheliotus,75
Othello,unavailable,74
Cyrille,Corythornis cristata,100
Dionysus,Mazama gouazoubira,85
Nomi,Eolophus roseicapillus,94
Dario,Cervus unicolor,94
Andrei,Corvus albicollis,75
Kliment,Falco mexicanus,92
Idelle,Meleagris gallopavo,97
Tandy,Boa caninus,80
Uriel,Nycticorax nycticorax,72
Anabal,Neotis denhami,76
Neils,unavailable,93
Suzy,Tragelaphus strepsiceros,95
Bennie,Ursus americanus,81
Lissa,Notechis semmiannulatus,98
Kakalina,Cabassous sp.,71
Galvin,Hymenolaimus malacorhynchus,71
Alyson,Macropus agilis,85
Wanids,Bassariscus astutus,88
Salim,Grus antigone,76
Martainn,Cracticus nigroagularis,89
Eyde,Seiurus aurocapillus,90
Giraud,Bassariscus astutus,70
Josi,Varanus salvator,93
Perice,Rhea americana,81
Cheslie,Paroaria gularis,80
Balduin,Paroaria gularis,85
Lynea,Eumetopias jubatus,87
Breanne,Chlidonias leucopterus,84
Brana,Dasypus novemcinctus,72
Lew,Acridotheres tristis,81
Ardyth,Acanthaster planci,88
Pavla,Dacelo novaeguineae,93
Krystal,Nyctereutes procyonoides,88
Richard,Connochaetus taurinus,96
Mattias,Aegypius tracheliotus,79
Emory,Neophron percnopterus,94
Johann,Ardea golieth,73
Rayshell,Capreolus capreolus,82
Cinda,unavailable,78
Pansie,Columba livia,94
Trista,Felis libyca,83
Dominga,Psittacula krameri,91
Liz,Mabuya spilogaster,84
Regine,Varanus salvator,82
Grady,Pteronura brasiliensis,92
Minor,Felis libyca,82
Leticia,Paradoxurus hermaphroditus,90
Lin,Haematopus ater,79
Moore,Tayassu tajacu,81
Ricoriki,Damaliscus dorcas,86
Mathias,Casmerodius albus,78
Skell,Eumetopias jubatus,91
Abel,Bassariscus astutus,83
Hadlee,Tamiasciurus hudsonicus,88
Eleanore,Arctogalidia trivirgata,74
Goddart,Libellula quadrimaculata,77
Chelsy,Meles meles,92
Zarla,Canis mesomelas,75
Arden,Sylvicapra grimma,91
Augusto,Lamprotornis nitens,70
Sheelah,Canis mesomelas,75
Lotte,Mephitis mephitis,98
Danie,Anas platyrhynchos,81
Ronny,Acridotheres tristis,77
Myranda,Agkistrodon piscivorus,70
Fernandina,Anastomus oscitans,76
Martelle,Pycnonotus nigricans,82
Floyd,Trichechus inunguis,89
Yvor,Larus novaehollandiae,93
Evangeline,Uraeginthus granatina,81
Tod,Speothos vanaticus,85
Fletch,Lybius torquatus,82
Job,Macropus rufogriseus,75
Zelma,Catharacta skua,84
Karlis,Lasiodora parahybana,70
Dniren,Castor canadensis,92
Gerianne,Cynictis penicillata,95
Juditha,Psophia viridis,75
Darbee,Laniarius ferrugineus,78
Gillie,Aonyx cinerea,100
Aldo,Spermophilus tridecemlineatus,74
Garret,Microcebus murinus,71
Gustie,Scolopax minor,93
Karen,Vombatus ursinus,84
Cassie,Cordylus giganteus,86
Hadlee,Pelecans onocratalus,79
Prescott,Trichechus inunguis,72
Jacynth,Centrocercus urophasianus,89
Camella,Bos mutus,84
Elicia,Hystrix cristata,95
Sile,Libellula quadrimaculata,73
Niko,Ephippiorhynchus mycteria,80
Glenine,Colaptes campestroides,70
Gilles,Lamprotornis chalybaeus,73
Ripley,Panthera leo persica,71
Huey,Bucephala clangula,78
Hubert,Phoenicopterus ruber,97
Roth,Chamaelo sp.,70
Payton,Marmota caligata,74
Arlen,Bucorvus leadbeateri,100
Obadiah,Dendrocitta vagabunda,84
Wynne,Ictalurus furcatus,89
Loralie,Vulpes cinereoargenteus,80
Betteanne,Cordylus giganteus,90
Whitney,Francolinus coqui,76
Gale,Bassariscus astutus,79
Cynthia,Macropus eugenii,96
Parsifal,Castor fiber,83
Stafani,Agama sp.,88
Cosimo,Crotalus triseriatus,94
Britta,Nectarinia chalybea,92
Harmony,Tragelaphus strepsiceros,95
Oliy,Geococcyx californianus,70
Roxy,Phoenicopterus ruber,85
Clair,Graspus graspus,78
Henrie,Bucorvus leadbeateri,93
Solly,Ciconia episcopus,91
Zonnya,unavailable,90
Moss,Panthera tigris,92
Walt,Phoenicopterus chilensis,71
Dorey,Odocoileus hemionus,97
Guillemette,Microcebus murinus,100
Dosi,Buteo jamaicensis,98
Byran,Cebus apella,95
Fae,Mazama americana,76
Virginie,Naja nivea,92
Faydra,Phoenicopterus ruber,93
Catha,Varanus salvator,99
Kiel,Tiliqua scincoides,88
Zachariah,Macropus robustus,86
Gusella,Geochelone elephantopus,87
Chrissie,Speothos vanaticus,97
Rene,Eubalaena australis,85
Tanhya,Panthera onca,99
Edik,Dasypus novemcinctus,85
Sonny,Papio ursinus,79
Thorvald,Uraeginthus angolensis,72
Hyacinthe,Calyptorhynchus magnificus,91
Rocky,Sula dactylatra,84
Paul,Papilio canadensis,92
Derrik,Gyps bengalensis,71
Radcliffe,Carduelis pinus,90
Westley,Colobus guerza,84
Jephthah,Phascogale tapoatafa,75
Nessie,Bugeranus caruncalatus,87
Margette,Geochelone elephantopus,70
Britteny,Leptoptilus dubius,92
Averell,Microcebus murinus,91
Sunny,Zosterops pallidus,96
Eberto,Genetta genetta,98
Lucien,Charadrius tricollaris,78
Gus,Mazama gouazoubira,72
Delphine,Dendrocitta vagabunda,80
Phedra,Papio cynocephalus,77
Lauretta,Sylvicapra grimma,90
Angelia,Erinaceus frontalis,70
Enid,Lamprotornis chalybaeus,86
Iago,Spizaetus coronatus,71
Lind,Oryx gazella,76
Claus,Agkistrodon piscivorus,75
Hanson,Colobus guerza,98
Cort,Boa constrictor mexicana,99
Fawnia,unavailable,78
Geralda,Didelphis virginiana,98
Xenia,Lycaon pictus,79
Ginnie,Eurocephalus anguitimens,97
Terrijo,Choriotis kori,75
Bondie,Deroptyus accipitrinus,78
Karoline,Phacochoerus aethiopus,98
Lacy,Ursus americanus,75
Salomon,Tockus erythrorhyncus,94
Penny,Scolopax minor,75
Nikolaus,Fregata magnificans,87
Gennie,Dendrohyrax brucel,92
Clay,Damaliscus dorcas,89
Joyan,Cracticus nigroagularis,84
Berty,Theropithecus gelada,99
Khalil,Felis wiedi or Leopardus weidi,71
Clareta,Recurvirostra avosetta,81
Caria,Alcelaphus buselaphus cokii,72
Ardis,Fregata magnificans,91
Karie,Libellula quadrimaculata,87
Dianna,Ammospermophilus nelsoni,87
Gerladina,Choloepus hoffmani,93
Hube,Speotyte cuniculata,95
Benedetto,Perameles nasuta,95
Emelina,Macropus agilis,78
Kaspar,Cebus nigrivittatus,87
Paola,Threskionis aethiopicus,97
Thaine,Balearica pavonina,71
Julissa,Epicrates cenchria maurus,89
Eleen,Turtur chalcospilos,90
Sal,Ara ararauna,96
Carlos,Casmerodius albus,85
Lek,Arctogalidia trivirgata,93
Sande,Macropus giganteus,79
Giulia,Mycteria leucocephala,87
Ossie,Varanus sp.,95
Marcelo,Helogale undulata,93
Gardie,Chauna torquata,75
Barth,Catharacta skua,90
Shelton,Pituophis melanaleucus,84
Cherilyn,Corvus albus,81
Elisabet,Dendrocitta vagabunda,79
Kingsley,Paroaria gularis,83
Ellwood,Deroptyus accipitrinus,100
Archibold,Vulpes vulpes,81
Harper,Colobus guerza,84
Tildie,Bucephala clangula,85
Ave,Madoqua kirkii,91
Dorie,Bucorvus leadbeateri,75
Ethelda,Castor canadensis,77
Simmonds,Uraeginthus angolensis,90
Brett,Vombatus ursinus,93
Madlen,Naja haje,75
Gayel,Macaca fuscata,94
Idaline,Merops nubicus,93
Mychal,Dasyurus viverrinus,85
Kinny,Alcelaphus buselaphus cokii,83
Peterus,Felis libyca,84
Fonz,Fratercula corniculata,79
Lin,Phalacrocorax brasilianus,88
Josee,Mustela nigripes,85
Prudi,Crotaphytus collaris,81
Rayner,Phoenicopterus chilensis,92
Alexa,Ursus maritimus,77
Devlin,Pelecanus conspicillatus,85
Sayer,Nyctanassa violacea,82
Kordula,Chlidonias leucopterus,79
Guillermo,Uraeginthus angolensis,93
Jerrylee,Epicrates cenchria maurus,92
Sal,Neotis denhami,100
Rorie,Tachybaptus ruficollis,76
Allie,Grus rubicundus,87
Faythe,Mungos mungo,70
Nanni,Tockus erythrorhyncus,78
Theressa,Columba livia,96
Julia,Sylvicapra grimma,72
Aline,Ephippiorhynchus mycteria,74
Meghann,Dasyprocta leporina,87
Rosalind,Oxybelis fulgidus,99
Simone,Smithopsis crassicaudata,89
Rozalie,Milvus migrans,99
Darn,Geochelone elegans,81
Kalle,Colobus guerza,97
Randi,Manouria emys,92
Nobie,Recurvirostra avosetta,78
Iorgos,Branta canadensis,79
Shepard,Coluber constrictor,91
Holly-anne,Castor fiber,81
Charisse,Tayassu tajacu,72
Arnuad,Pteronura brasiliensis,84
Krissie,unavailable,82
Hogan,Macaca fuscata,83
Aubrie,Lamprotornis nitens,72
Brockie,Lutra canadensis,81
Reggie,Speotyte cuniculata,70
Fredi,Gymnorhina tibicen,96
Camila,Vombatus ursinus,82
Ludwig,Mazama gouazoubira,83
Lazar,Uraeginthus granatina,95
Betty,Sylvicapra grimma,82
Rahal,Colobus guerza,82
Haily,Cynictis penicillata,100
Hamlin,Aegypius tracheliotus,77
Hyman,Eunectes sp.,89
Andriana,Pteronura brasiliensis,88
Prissie,Spermophilus parryii,97
Merrielle,Dendrohyrax brucel,98
